"iteration","toss","cum_mean"
1,0,0
2,1,0.5
3,0,0.333333333333333
4,0,0.25
5,1,0.4
6,0,0.333333333333333
7,1,0.428571428571429
8,1,0.5
9,1,0.555555555555556
10,0,0.5
11,0,0.454545454545455
12,0,0.416666666666667
13,0,0.384615384615385
14,0,0.357142857142857
15,0,0.333333333333333
16,0,0.3125
17,1,0.352941176470588
18,0,0.333333333333333
19,1,0.368421052631579
20,0,0.35
21,0,0.333333333333333
22,0,0.318181818181818
23,1,0.347826086956522
24,1,0.375
25,0,0.36
26,1,0.384615384615385
27,1,0.407407407407407
28,0,0.392857142857143
29,0,0.379310344827586
30,0,0.366666666666667
31,1,0.387096774193548
32,1,0.40625
33,1,0.424242424242424
34,1,0.441176470588235
35,1,0.457142857142857
36,0,0.444444444444444
37,0,0.432432432432432
38,1,0.447368421052632
39,0,0.435897435897436
40,1,0.45
41,1,0.463414634146341
42,0,0.452380952380952
43,0,0.441860465116279
44,0,0.431818181818182
45,0,0.422222222222222
46,1,0.434782608695652
47,1,0.446808510638298
48,1,0.458333333333333
49,0,0.448979591836735
50,0,0.44
51,1,0.450980392156863
52,1,0.461538461538462
53,1,0.471698113207547
54,1,0.481481481481481
55,1,0.490909090909091
56,1,0.5
57,0,0.491228070175439
58,1,0.5
59,1,0.508474576271186
60,1,0.516666666666667
61,0,0.508196721311475
62,1,0.516129032258065
63,1,0.523809523809524
64,0,0.515625
65,0,0.507692307692308
66,1,0.515151515151515
67,1,0.522388059701492
68,1,0.529411764705882
69,1,0.536231884057971
70,0,0.528571428571429
71,1,0.535211267605634
72,0,0.527777777777778
73,1,0.534246575342466
74,0,0.527027027027027
75,1,0.533333333333333
76,0,0.526315789473684
77,1,0.532467532467532
78,1,0.538461538461538
79,0,0.531645569620253
80,0,0.525
81,1,0.530864197530864
82,1,0.536585365853659
83,1,0.542168674698795
84,0,0.535714285714286
85,1,0.541176470588235
86,0,0.534883720930233
87,0,0.528735632183908
88,0,0.522727272727273
89,0,0.51685393258427
90,1,0.522222222222222
91,0,0.516483516483517
92,1,0.521739130434783
93,1,0.526881720430108
94,1,0.531914893617021
95,1,0.536842105263158
96,1,0.541666666666667
97,1,0.54639175257732
98,1,0.551020408163265
99,1,0.555555555555556
100,0,0.55
101,0,0.544554455445545
102,0,0.53921568627451
103,1,0.54368932038835
104,1,0.548076923076923
105,1,0.552380952380952
106,0,0.547169811320755
107,1,0.551401869158878
108,1,0.555555555555556
109,1,0.559633027522936
110,0,0.554545454545455
111,0,0.54954954954955
112,1,0.553571428571429
113,0,0.548672566371681
114,0,0.543859649122807
115,0,0.539130434782609
116,0,0.53448275862069
117,0,0.52991452991453
118,1,0.533898305084746
119,1,0.53781512605042
120,1,0.541666666666667
121,1,0.545454545454545
122,0,0.540983606557377
123,1,0.544715447154472
124,1,0.548387096774194
125,0,0.544
126,1,0.547619047619048
127,0,0.543307086614173
128,0,0.5390625
129,1,0.542635658914729
130,1,0.546153846153846
131,0,0.541984732824427
132,1,0.545454545454545
133,0,0.541353383458647
134,1,0.544776119402985
135,1,0.548148148148148
136,0,0.544117647058823
137,0,0.54014598540146
138,0,0.536231884057971
139,1,0.539568345323741
140,1,0.542857142857143
141,0,0.539007092198582
142,1,0.542253521126761
143,1,0.545454545454545
144,0,0.541666666666667
145,0,0.537931034482759
146,0,0.534246575342466
147,1,0.537414965986395
148,0,0.533783783783784
149,1,0.536912751677852
150,0,0.533333333333333
151,0,0.529801324503311
152,0,0.526315789473684
153,0,0.522875816993464
154,1,0.525974025974026
155,0,0.52258064516129
156,1,0.525641025641026
157,1,0.528662420382166
158,0,0.525316455696203
159,0,0.522012578616352
160,1,0.525
161,1,0.527950310559006
162,1,0.530864197530864
163,1,0.533742331288344
164,1,0.536585365853659
165,1,0.539393939393939
166,1,0.542168674698795
167,1,0.544910179640719
168,1,0.547619047619048
169,1,0.550295857988166
170,0,0.547058823529412
171,0,0.543859649122807
172,0,0.540697674418605
173,0,0.53757225433526
174,1,0.540229885057471
175,1,0.542857142857143
176,1,0.545454545454545
177,1,0.548022598870056
178,0,0.544943820224719
179,0,0.541899441340782
180,1,0.544444444444444
181,1,0.546961325966851
182,1,0.54945054945055
183,1,0.551912568306011
184,0,0.548913043478261
185,0,0.545945945945946
186,1,0.548387096774194
187,1,0.550802139037433
188,1,0.553191489361702
189,0,0.55026455026455
190,0,0.547368421052632
191,0,0.544502617801047
192,1,0.546875
193,0,0.544041450777202
194,1,0.54639175257732
195,1,0.548717948717949
196,0,0.545918367346939
197,0,0.543147208121827
198,1,0.545454545454545
199,0,0.542713567839196
200,0,0.54
201,1,0.54228855721393
202,1,0.544554455445545
203,1,0.54679802955665
204,0,0.544117647058823
205,1,0.546341463414634
206,0,0.54368932038835
207,1,0.545893719806763
208,0,0.543269230769231
209,0,0.54066985645933
210,0,0.538095238095238
211,0,0.535545023696682
212,1,0.537735849056604
213,0,0.535211267605634
214,1,0.537383177570093
215,0,0.534883720930233
216,1,0.537037037037037
217,0,0.534562211981567
218,1,0.536697247706422
219,1,0.538812785388128
220,0,0.536363636363636
221,1,0.538461538461538
222,0,0.536036036036036
223,0,0.533632286995516
224,1,0.535714285714286
225,0,0.533333333333333
226,0,0.530973451327434
227,1,0.533039647577093
228,0,0.530701754385965
229,0,0.528384279475983
230,0,0.526086956521739
231,0,0.523809523809524
232,1,0.525862068965517
233,1,0.527896995708155
234,0,0.525641025641026
235,1,0.527659574468085
236,1,0.529661016949153
237,1,0.531645569620253
238,0,0.529411764705882
239,0,0.527196652719665
240,1,0.529166666666667
241,1,0.531120331950207
242,1,0.533057851239669
243,0,0.530864197530864
244,0,0.528688524590164
245,0,0.526530612244898
246,1,0.528455284552846
247,1,0.530364372469636
248,0,0.528225806451613
249,0,0.526104417670683
250,0,0.524
251,0,0.52191235059761
252,0,0.51984126984127
253,0,0.517786561264822
254,0,0.515748031496063
255,0,0.513725490196078
256,1,0.515625
257,1,0.517509727626459
258,0,0.515503875968992
259,0,0.513513513513513
260,1,0.515384615384615
261,1,0.517241379310345
262,0,0.515267175572519
263,1,0.517110266159696
264,1,0.518939393939394
265,0,0.516981132075472
266,1,0.518796992481203
267,0,0.51685393258427
268,0,0.514925373134328
269,1,0.516728624535316
270,1,0.518518518518518
271,0,0.51660516605166
272,0,0.514705882352941
273,0,0.512820512820513
274,0,0.510948905109489
275,0,0.509090909090909
276,1,0.510869565217391
277,0,0.509025270758123
278,0,0.507194244604317
279,0,0.505376344086022
280,0,0.503571428571429
281,1,0.505338078291815
282,1,0.50709219858156
283,0,0.50530035335689
284,1,0.507042253521127
285,1,0.508771929824561
286,1,0.51048951048951
287,1,0.51219512195122
288,0,0.510416666666667
289,1,0.512110726643599
290,1,0.513793103448276
291,0,0.512027491408935
292,0,0.51027397260274
293,0,0.508532423208191
294,1,0.510204081632653
295,1,0.511864406779661
296,1,0.513513513513513
297,1,0.515151515151515
298,0,0.513422818791946
299,1,0.51505016722408
300,1,0.516666666666667
301,1,0.518272425249169
302,1,0.519867549668874
303,1,0.521452145214521
304,0,0.519736842105263
305,1,0.521311475409836
306,1,0.522875816993464
307,1,0.52442996742671
308,1,0.525974025974026
309,1,0.527508090614887
310,1,0.529032258064516
311,0,0.527331189710611
312,1,0.528846153846154
313,1,0.53035143769968
314,0,0.528662420382166
315,1,0.53015873015873
316,0,0.528481012658228
317,1,0.529968454258675
318,1,0.531446540880503
319,0,0.529780564263323
320,0,0.528125
321,1,0.529595015576324
322,1,0.531055900621118
323,1,0.532507739938081
324,0,0.530864197530864
325,0,0.529230769230769
326,1,0.530674846625767
327,1,0.532110091743119
328,1,0.533536585365854
329,0,0.531914893617021
330,0,0.53030303030303
331,0,0.528700906344411
332,1,0.530120481927711
333,0,0.528528528528528
334,0,0.526946107784431
335,0,0.525373134328358
336,0,0.523809523809524
337,0,0.522255192878338
338,1,0.523668639053254
339,0,0.52212389380531
340,1,0.523529411764706
341,0,0.521994134897361
342,1,0.523391812865497
343,1,0.524781341107872
344,1,0.526162790697674
345,1,0.527536231884058
346,0,0.526011560693642
347,0,0.524495677233429
348,1,0.525862068965517
349,0,0.524355300859599
350,0,0.522857142857143
351,1,0.524216524216524
352,0,0.522727272727273
353,1,0.524079320113314
354,1,0.525423728813559
355,0,0.523943661971831
356,0,0.52247191011236
357,0,0.521008403361345
358,0,0.519553072625698
359,1,0.520891364902507
360,1,0.522222222222222
361,1,0.523545706371191
362,1,0.524861878453039
363,0,0.523415977961432
364,1,0.524725274725275
365,0,0.523287671232877
366,1,0.524590163934426
367,1,0.525885558583106
368,0,0.52445652173913
369,1,0.525745257452574
370,1,0.527027027027027
371,1,0.528301886792453
372,0,0.526881720430108
373,1,0.528150134048257
374,0,0.526737967914438
375,0,0.525333333333333
376,1,0.526595744680851
377,0,0.525198938992042
378,0,0.523809523809524
379,0,0.522427440633245
380,1,0.523684210526316
381,0,0.522309711286089
382,1,0.523560209424084
383,0,0.522193211488251
384,1,0.5234375
385,1,0.524675324675325
386,0,0.523316062176166
387,0,0.521963824289406
388,0,0.520618556701031
389,0,0.519280205655527
390,0,0.517948717948718
391,0,0.516624040920716
392,1,0.517857142857143
393,1,0.519083969465649
394,1,0.520304568527919
395,0,0.518987341772152
396,1,0.52020202020202
397,0,0.518891687657431
398,1,0.520100502512563
399,0,0.518796992481203
400,0,0.5175
401,0,0.516209476309227
402,0,0.514925373134328
403,0,0.513647642679901
404,1,0.514851485148515
405,0,0.51358024691358
406,1,0.514778325123153
407,1,0.515970515970516
408,1,0.517156862745098
409,1,0.518337408312958
410,0,0.517073170731707
411,1,0.518248175182482
412,0,0.516990291262136
413,0,0.515738498789346
414,1,0.516908212560386
415,0,0.51566265060241
416,1,0.516826923076923
417,0,0.515587529976019
418,1,0.516746411483254
419,1,0.517899761336515
420,1,0.519047619047619
421,1,0.520190023752969
422,0,0.518957345971564
423,0,0.517730496453901
424,1,0.518867924528302
425,0,0.517647058823529
426,1,0.518779342723005
427,0,0.517564402810304
428,0,0.516355140186916
429,1,0.517482517482518
430,1,0.518604651162791
431,1,0.519721577726218
432,0,0.518518518518518
433,1,0.519630484988453
434,0,0.518433179723502
435,0,0.517241379310345
436,1,0.518348623853211
437,0,0.517162471395881
438,0,0.515981735159817
439,1,0.517084282460137
440,1,0.518181818181818
441,0,0.517006802721088
442,1,0.518099547511312
443,1,0.519187358916479
444,1,0.52027027027027
445,1,0.521348314606742
446,1,0.522421524663677
447,1,0.523489932885906
448,0,0.522321428571429
449,1,0.523385300668151
450,0,0.522222222222222
451,0,0.521064301552106
452,0,0.519911504424779
453,1,0.520971302428256
454,0,0.519823788546256
455,1,0.520879120879121
456,1,0.521929824561403
457,0,0.520787746170678
458,0,0.519650655021834
459,1,0.520697167755991
460,1,0.521739130434783
461,1,0.522776572668113
462,0,0.521645021645022
463,1,0.52267818574514
464,0,0.521551724137931
465,0,0.520430107526882
466,0,0.51931330472103
467,1,0.5203426124197
468,0,0.519230769230769
469,0,0.518123667377399
470,1,0.519148936170213
471,0,0.518046709129512
472,0,0.516949152542373
473,1,0.517970401691332
474,1,0.518987341772152
475,1,0.52
476,0,0.51890756302521
477,0,0.517819706498952
478,0,0.51673640167364
479,1,0.517745302713987
480,0,0.516666666666667
481,0,0.515592515592516
482,1,0.516597510373444
483,1,0.5175983436853
484,0,0.516528925619835
485,1,0.517525773195876
486,0,0.516460905349794
487,0,0.515400410677618
488,1,0.516393442622951
489,0,0.515337423312883
490,0,0.514285714285714
491,0,0.513238289205703
492,0,0.51219512195122
493,1,0.513184584178499
494,1,0.51417004048583
495,1,0.515151515151515
496,0,0.514112903225806
497,0,0.51307847082495
498,0,0.512048192771084
499,1,0.513026052104208
500,0,0.512
501,1,0.512974051896208
502,0,0.51195219123506
